aX,aY,aZ,gX,gY,gZ
-0.22,-0.02,0.92,-3.05,14.34,0.85
-0.04,-0.1,1.76,-9.03,-11.54,22.34
-0.25,-0.01,0.94,-51.51,-53.53,91.43
-0.28,-0.01,1.01,-11.96,-29.48,28.32
-0.31,-0.02,1.0,1.53,-22.16,9.34
-0.32,-0.01,0.98,4.7,-21.12,7.02
-0.32,-0.02,0.97,5.74,-20.32,6.41
-0.3,-0.05,0.97,4.76,-17.94,6.47
-0.27,-0.06,1.0,1.22,-15.2,6.29
-0.24,-0.07,1.05,-1.53,-14.28,4.27
-0.22,-0.07,1.09,-2.69,-15.69,2.32
-0.22,-0.05,1.12,-2.69,-18.8,1.77
-0.26,-0.04,1.13,-0.61,-24.17,1.16
-0.3,-0.02,1.1,2.69,-31.31,1.04
-0.33,0.0,1.07,4.39,-37.54,1.95
-0.37,0.02,1.03,5.55,-40.89,3.05
-0.39,0.02,1.0,7.75,-43.27,5.37
-0.4,0.01,0.97,9.95,-43.82,7.87
-0.39,-0.0,0.95,11.23,-42.91,9.46
-0.38,-0.04,0.95,11.23,-40.89,11.35
-0.34,-0.06,0.96,9.95,-38.7,12.33
-0.32,-0.09,0.98,9.22,-37.54,11.17
-0.28,-0.11,1.03,6.84,-36.32,9.22
-0.26,-0.09,1.09,2.99,-36.13,6.47
-0.26,-0.05,1.14,1.59,-39.31,3.72
-0.3,-0.03,1.18,2.75,-45.41,2.38
-0.35,0.0,1.16,6.96,-54.32,3.36
-0.39,0.04,1.16,11.11,-61.4,6.96
-0.4,0.05,1.12,17.4,-65.61,11.17
-0.41,0.05,1.08,23.99,-70.43,15.01
-0.4,0.04,1.04,29.54,-73.73,18.37
-0.38,0.01,1.01,34.36,-76.17,21.3
-0.37,-0.02,0.99,37.96,-77.88,22.83
-0.37,-0.06,0.97,39.18,-78.74,22.95
-0.34,-0.08,0.98,37.78,-78.8,22.34
-0.33,-0.12,0.98,34.55,-79.96,20.32
-0.32,-0.13,0.98,29.48,-85.63,18.68
-0.34,-0.13,0.98,23.74,-92.29,16.97
-0.39,-0.11,0.95,20.63,-100.22,15.2
-0.43,-0.09,0.94,20.26,-107.85,13.92
-0.49,-0.08,0.89,23.32,-112.79,14.16
-0.54,-0.06,0.85,28.08,-115.66,16.48
-0.56,-0.06,0.82,33.87,-114.56,18.43
-0.55,-0.08,0.79,40.28,-110.41,20.94
-0.52,-0.1,0.79,44.19,-104.98,22.77
-0.49,-0.12,0.78,45.47,-102.6,23.74
-0.48,-0.14,0.76,45.47,-104.19,23.68
-0.49,-0.16,0.74,44.07,-104.92,21.79
-0.5,-0.15,0.73,41.5,-104.49,19.17
-0.54,-0.16,0.69,40.53,-105.71,17.33
-0.55,-0.16,0.67,38.76,-107.24,17.21
-0.57,-0.14,0.66,36.56,-106.93,16.42
-0.59,-0.14,0.64,36.93,-106.99,15.75
-0.61,-0.15,0.62,39.67,-107.91,16.11
-0.62,-0.16,0.61,42.6,-108.15,16.54
-0.61,-0.19,0.59,46.14,-109.07,16.54
-0.63,-0.23,0.54,49.56,-111.94,16.48
-0.65,-0.24,0.52,48.52,-113.16,15.93
-0.66,-0.22,0.52,44.74,-112.37,14.53
-0.7,-0.24,0.5,43.95,-113.83,14.22
-0.73,-0.25,0.46,44.37,-114.44,14.65
-0.76,-0.24,0.45,42.66,-111.39,15.2
-0.75,-0.25,0.44,42.6,-108.7,16.6
-0.73,-0.29,0.42,43.46,-107.06,17.76
-0.73,-0.29,0.41,41.81,-106.69,16.3
-0.74,-0.31,0.4,39.73,-108.46,14.4
-0.75,-0.34,0.37,38.02,-110.6,13.43
-0.76,-0.34,0.36,34.61,-111.76,13.0
-0.76,-0.34,0.38,31.74,-111.88,12.63
-0.77,-0.36,0.34,33.51,-112.0,12.39
-0.79,-0.36,0.32,33.94,-109.86,12.27
-0.78,-0.37,0.32,33.63,-107.24,12.88
-0.75,-0.38,0.29,34.12,-106.26,13.43
-0.74,-0.38,0.29,32.65,-104.92,12.15
-0.76,-0.36,0.28,31.01,-104.13,9.03
-0.78,-0.33,0.25,32.41,-104.74,6.77
-0.81,-0.31,0.22,35.95,-105.16,6.84
-0.82,-0.31,0.18,40.89,-103.94,9.22
-0.83,-0.32,0.13,45.29,-101.01,11.72
-0.81,-0.32,0.1,46.75,-97.66,13.98
-0.77,-0.36,0.06,46.57,-96.62,15.63
-0.74,-0.42,0.06,43.15,-95.34,14.65
-0.74,-0.4,0.06,38.21,-93.99,10.5
-0.73,-0.41,0.07,34.06,-95.58,4.76
-0.77,-0.44,0.0,30.88,-98.21,-0.06
-0.81,-0.4,-0.02,26.18,-99.24,-2.99
-0.85,-0.37,-0.04,23.25,-98.51,-4.58
-0.87,-0.36,-0.09,25.45,-96.01,-4.09
-0.87,-0.33,-0.12,27.53,-90.76,-2.69
-0.87,-0.3,-0.12,29.85,-85.08,-1.59
-0.86,-0.31,-0.15,35.16,-80.14,0.37
-0.86,-0.3,-0.17,39.12,-74.16,2.75
-0.85,-0.28,-0.14,39.98,-67.75,3.72
-0.81,-0.35,-0.16,40.89,-65.37,4.64
-0.79,-0.38,-0.2,37.35,-68.12,3.72
-0.8,-0.38,-0.21,26.31,-74.4,-0.31
-0.84,-0.37,-0.23,16.05,-81.67,-3.72
-0.88,-0.37,-0.28,10.07,-85.69,-4.88
-0.9,-0.34,-0.28,5.68,-83.68,-4.94
-0.89,-0.32,-0.28,5.74,-78.86,-3.36
-0.88,-0.32,-0.3,10.31,-72.51,-1.4
-0.86,-0.31,-0.3,15.81,-64.45,0.06
-0.88,-0.32,-0.33,20.69,-56.58,1.16
-0.87,-0.35,-0.36,23.8,-50.29,3.78
-0.82,-0.36,-0.31,20.39,-43.21,4.82
-0.78,-0.35,-0.27,15.69,-39.73,2.93
-0.79,-0.36,-0.29,13.92,-43.03,0.37
-0.82,-0.36,-0.31,11.78,-46.94,-1.77
-0.84,-0.35,-0.33,9.09,-48.4,-3.23
-0.85,-0.34,-0.33,6.65,-49.01,-3.66
-0.84,-0.33,-0.32,5.43,-47.85,-3.72
-0.85,-0.33,-0.34,7.02,-45.1,-4.58
-0.87,-0.32,-0.36,7.81,-41.63,-5.49
-0.87,-0.32,-0.35,6.96,-38.15,-5.49
-0.86,-0.34,-0.36,5.25,-34.73,-4.7
-0.84,-0.32,-0.34,1.83,-32.35,-5.13
-0.86,-0.31,-0.32,-1.1,-32.59,-6.47
-0.88,-0.33,-0.33,-1.77,-33.02,-6.53
-0.87,-0.32,-0.29,-3.66,-31.13,-6.84
-0.89,-0.31,-0.27,-5.07,-30.76,-8.0
-0.92,-0.3,-0.28,-2.75,-32.65,-7.32
-0.92,-0.3,-0.3,1.04,-32.53,-4.82
-0.93,-0.3,-0.33,5.0,-31.98,-2.62
-0.92,-0.31,-0.34,7.81,-31.13,-0.61
-0.9,-0.32,-0.35,9.4,-29.42,1.46
-0.89,-0.31,-0.35,9.89,-28.14,2.01
-0.89,-0.32,-0.37,9.83,-28.87,3.36
-0.87,-0.35,-0.39,9.64,-29.79,4.52
-0.86,-0.36,-0.42,7.69,-29.97,3.85
-0.86,-0.35,-0.42,3.97,-29.91,1.59
-0.86,-0.35,-0.43,1.65,-29.66,-0.18
-0.87,-0.34,-0.44,0.49,-27.89,-0.98
-0.87,-0.33,-0.44,0.12,-24.78,-1.34
-0.85,-0.32,-0.44,0.73,-22.16,-0.92
-0.84,-0.33,-0.45,1.59,-20.02,-0.49
-0.84,-0.32,-0.45,2.14,-17.94,-0.55
-0.83,-0.33,-0.45,2.81,-16.42,-0.55
-0.81,-0.34,-0.45,3.23,-14.89,-0.55
-0.8,-0.34,-0.45,2.32,-14.4,-1.59
-0.81,-0.32,-0.44,0.61,-15.2,-2.81
-0.84,-0.33,-0.47,0.31,-16.54,-3.66
-0.84,-0.32,-0.48,-0.67,-17.03,-3.54
-0.84,-0.31,-0.48,-2.38,-15.2,-3.42
-0.84,-0.3,-0.47,-2.5,-12.94,-3.11
-0.83,-0.29,-0.48,-1.59,-11.05,-2.32
-0.85,-0.28,-0.49,0.0,-9.03,-1.89
-0.86,-0.27,-0.52,2.81,-5.8,-0.24
-0.83,-0.29,-0.53,5.55,-1.04,2.99
-0.8,-0.31,-0.54,7.87,3.66,5.0
-0.79,-0.31,-0.55,8.18,6.29,5.0
-0.79,-0.32,-0.58,6.65,7.39,4.21
-0.79,-0.32,-0.59,4.33,8.85,3.23
-0.79,-0.33,-0.59,0.92,11.78,1.4
-0.79,-0.33,-0.59,-3.3,14.71,-0.55
-0.79,-0.32,-0.58,-7.63,16.6,-2.01
-0.81,-0.31,-0.56,-11.9,17.52,-3.48
-0.81,-0.29,-0.54,-14.28,19.71,-4.46
-0.82,-0.29,-0.52,-14.4,23.13,-4.88
-0.82,-0.28,-0.51,-12.76,26.55,-4.88
-0.82,-0.28,-0.5,-10.44,30.21,-4.58
-0.83,-0.28,-0.52,-7.93,33.69,-4.15
-0.84,-0.28,-0.51,-7.14,35.83,-3.17
-0.84,-0.29,-0.5,-7.51,38.09,-2.32
-0.83,-0.3,-0.5,-7.81,40.34,-1.53
-0.82,-0.32,-0.48,-9.09,43.15,-1.59
-0.83,-0.33,-0.47,-10.25,46.02,-2.87
-0.84,-0.34,-0.45,-12.08,48.52,-4.46
-0.84,-0.35,-0.44,-14.28,50.42,-6.59
-0.84,-0.36,-0.43,-17.46,51.7,-9.34
-0.86,-0.36,-0.41,-21.85,52.37,-13.06
-0.88,-0.34,-0.4,-26.12,52.37,-16.66
-0.9,-0.3,-0.37,-30.03,53.22,-19.1
-0.92,-0.32,-0.33,-31.07,56.09,-20.94
-0.92,-0.28,-0.33,-28.69,57.68,-20.39
-0.93,-0.26,-0.3,-25.88,59.02,-17.64
-0.92,-0.25,-0.28,-20.69,61.52,-13.37
-0.9,-0.26,-0.28,-13.06,64.03,-8.67
-0.89,-0.25,-0.27,-5.37,66.22,-4.39
-0.88,-0.27,-0.28,2.32,68.54,-0.79
-0.84,-0.32,-0.31,7.45,71.59,2.69
-0.8,-0.36,-0.34,5.92,74.46,2.99
-0.78,-0.37,-0.31,-2.87,76.35,-0.98
-0.81,-0.37,-0.3,-13.43,77.21,-7.32
-0.83,-0.34,-0.24,-25.02,77.76,-13.49
-0.85,-0.32,-0.18,-34.85,78.61,-18.31
-0.86,-0.3,-0.12,-41.02,79.53,-21.73
-0.88,-0.27,-0.05,-43.7,80.08,-23.8
-0.9,-0.24,0.01,-41.56,80.32,-23.86
-0.91,-0.23,0.05,-35.34,80.93,-22.28
