aX,aY,aZ,gX,gY,gZ
-0.05,-0.03,-0.93,-2.81,15.87,0.85
0.06,-0.07,-0.53,-0.67,0.43,9.7
-0.08,-0.01,-0.96,-11.72,-9.03,14.89
-0.09,-0.02,-0.98,-15.26,-13.43,10.44
-0.1,-0.02,-0.98,-14.59,-10.25,5.07
-0.1,-0.02,-0.98,-11.47,-7.26,1.95
-0.1,-0.03,-0.97,-9.16,-5.86,0.98
-0.12,-0.04,-0.98,-6.23,-4.03,0.0
-0.12,-0.04,-0.99,-3.48,-1.83,-0.98
-0.14,-0.04,-1.01,-1.4,-0.18,-1.4
-0.15,-0.05,-1.02,-0.06,0.37,-1.04
-0.14,-0.05,-1.02,0.85,0.92,-0.43
-0.14,-0.06,-1.03,1.59,1.16,-0.31
-0.14,-0.06,-1.04,1.77,1.59,-0.31
-0.14,-0.06,-1.04,1.04,1.83,-0.43
-0.14,-0.06,-1.03,-0.37,1.89,-0.31
-0.14,-0.05,-1.02,-1.77,1.95,-0.24
-0.13,-0.04,-1.01,-2.44,2.2,0.12
-0.13,-0.03,-1.0,-2.44,2.2,0.0
-0.12,-0.03,-0.99,-1.89,2.5,0.24
-0.11,-0.03,-0.98,-0.49,3.17,0.12
-0.1,-0.03,-0.98,1.89,4.09,-0.31
-0.09,-0.03,-0.99,3.97,4.88,-0.61
-0.08,-0.04,-1.0,5.49,5.31,-0.73
-0.07,-0.04,-1.0,7.02,5.62,-0.61
-0.07,-0.04,-1.02,8.73,6.29,-0.49
-0.07,-0.04,-1.03,9.7,6.59,-0.73
-0.09,-0.04,-1.05,10.19,6.77,-1.04
-0.09,-0.04,-1.06,9.83,7.08,-1.1
-0.08,-0.04,-1.07,8.61,7.32,-0.61
-0.08,-0.04,-1.08,6.04,5.92,0.12
-0.06,-0.05,-1.07,2.26,3.85,1.95
-0.04,-0.05,-1.06,-1.83,1.22,3.3
-0.04,-0.04,-1.04,-5.8,-1.4,4.64
-0.03,-0.04,-1.01,-8.48,-3.11,5.68
-0.02,-0.03,-0.99,-8.85,-3.17,5.8
-0.03,-0.02,-1.0,-7.69,-2.87,4.46
-0.03,-0.02,-1.0,-6.59,-1.77,3.42
-0.03,-0.02,-0.99,-5.49,-0.73,2.69
-0.04,-0.01,-1.0,-3.78,0.24,2.08
-0.05,-0.01,-0.99,-2.26,1.16,2.26
-0.03,-0.01,-0.99,-0.61,2.75,2.99
